Symbol,Crawl_Price,Price,Date_Start,Date_End
CR9,1,1,28/04/2021,23/08/2023
CRB,1,1,22/07/2021,22/08/2023
CRD,1,1,04/01/2000,21/08/2023
CRL,0,0,,
CRM,0,0,,
CRN,1,1,23/10/2018,23/08/2023
CRR,1,1,03/12/2010,23/08/2023
CRS,1,1,05/12/2018,23/08/2023
CSE,1,1,24/11/2004,12/12/2022
CSF,1,1,29/09/2005,23/08/2023
CSL,1,1,04/01/2000,23/08/2023
CSR,1,1,04/01/2000,23/08/2023
CSS,1,1,12/12/2005,23/08/2023
CST,1,1,14/02/2020,23/08/2023
CSX,1,1,23/10/2020,23/08/2023
CT1,1,1,10/09/2010,21/08/2023
CTD,1,1,15/12/2010,23/08/2023
CTE,1,1,09/05/2002,22/08/2023
CTM,1,1,04/01/2000,23/08/2023
CTN,1,1,18/02/2010,23/08/2023
CTO,1,1,04/01/2000,23/08/2023
CTP,1,1,07/03/2006,23/08/2023
CTQ,1,1,10/01/2022,23/08/2023
CTT,1,1,29/06/2012,23/08/2023
CTV,0,0,,
CU6,1,1,25/08/2021,23/08/2023
CUE,1,1,04/01/2000,22/08/2023
CUF,1,1,13/10/2005,23/08/2023
CUL,1,1,04/01/2000,18/08/2023
CUP,1,1,22/12/2010,22/08/2023
CUS,1,1,15/09/2021,23/08/2023
CUV,1,1,29/09/2005,23/08/2023
CVC,1,1,04/01/2000,22/08/2023
CVL,1,1,06/08/2018,21/08/2023
